ENV_SETUP,EH0001
adb command test fail,ADB001
TEST_ADB_ROOT,I0TRT0
TEST_PUSH_BURNIN,I0TPB0
TEST_START_TO_BURNIN,I0TSB0
CAMERA_TEMP_THERMISTOR_SB_1_1,ITC110
IMAGE_CAPTURE_1_1,IIC110
IR_LED_ON_50MA,ILIR00
RGB_LED_ALL_ON_10MA,ILRGB0
WIFI_RESET_AND_BOOT_1_1,IWI110
WIFI_RESET_AND_BOOT_1_2,IWI120
WIFI_RESET_AND_BOOT_1_3,IWI130
WIFI_RESET_AND_BOOT_1_4,IWI140
WIFI_RESET_AND_BOOT_1_5,IWI150
WIFI_RESET_AND_BOOT_1_6,IWI160
WIFI_RESET_AND_BOOT_1_7,IWI170
WIFI_RESET_AND_BOOT_1_8,IWI180
WIFI_RESET_AND_BOOT_1_9,IWI190
WIFI_RESET_AND_BOOT_1_10,IWI1A0
BT_RESET_AND_BOOT_1_1,IBT110
BT_RESET_AND_BOOT_1_2,IBT120
BT_RESET_AND_BOOT_1_3,IBT130
BT_RESET_AND_BOOT_1_4,IBT140
BT_RESET_AND_BOOT_1_5,IBT150
BT_RESET_AND_BOOT_1_6,IBT160
BT_RESET_AND_BOOT_1_7,IBT170
BT_RESET_AND_BOOT_1_8,IBT180
BT_RESET_AND_BOOT_1_9,IBT190
BT_RESET_AND_BOOT_1_10,IBT1A0
TOGGLE_ICR_1_1,IR0110
TOGGLE_ICR_1_2,IR0120
TOGGLE_ICR_1_3,IR0130
TOGGLE_ICR_1_4,IR0140
TOGGLE_ICR_1_5,IR0150
READ_TEMP_THERMISTOR_SB_1_1,ITB110
READ_TEMP_THERMISTOR_MPP2_SOC_1_1,ITS110
READ_TEMP_THERMISTOR_MPP3_WIFI_1_1,ITW110
AUDIO_STRESS_TEST_1_1,IA0110
AUDIO_STRESS_TEST_1_2,IA0120
AUDIO_STRESS_TEST_1_3,IA0130
AUDIO_STRESS_TEST_1_4,IA0140
AUDIO_STRESS_TEST_1_5,IA0150
AUDIO_STRESS_TEST_1_6,IA0160
AUDIO_STRESS_TEST_1_7,IA0170
AUDIO_STRESS_TEST_1_8,IA0180
AUDIO_STRESS_TEST_1_9,IA0190
AUDIO_STRESS_TEST_1_10,IA01A0
AUDIO_STRESS_TEST_1_11,IA01B0
AUDIO_STRESS_TEST_1_12,IA01C0
AUDIO_STRESS_TEST_1_13,IA01D0
AUDIO_STRESS_TEST_1_14,IA01E0
AUDIO_STRESS_TEST_1_15,IA01F0
AUDIO_STRESS_TEST_1_16,IA01G0
AUDIO_STRESS_TEST_1_17,IA01H0
AUDIO_STRESS_TEST_1_18,IA01I0
AUDIO_STRESS_TEST_1_19,IA01J0
AUDIO_STRESS_TEST_1_20,IA01K0
AUDIO_STRESS_TEST_1_21,IA01L0
AUDIO_STRESS_TEST_1_22,IA01M0
AUDIO_STRESS_TEST_1_23,IA01N0
AUDIO_STRESS_TEST_1_24,IA01O0
Coprocessor_STRESS_TEST_1_1,IC0110
ENV_SET_MID_1_1,IE0110
MEM_STRESS_TEST_1_1,IM0110
CAMERA_TEMP_THERMISTOR_SB_2_1,ITC210
IMAGE_CAPTURE_2_1,IIC210
WIFI_RESET_AND_BOOT_2_1,IWI210
WIFI_RESET_AND_BOOT_2_2,IWI220
WIFI_RESET_AND_BOOT_2_3,IWI230
WIFI_RESET_AND_BOOT_2_4,IWI240
WIFI_RESET_AND_BOOT_2_5,IWI250
WIFI_RESET_AND_BOOT_2_6,IWI260
WIFI_RESET_AND_BOOT_2_7,IWI270
WIFI_RESET_AND_BOOT_2_8,IWI280
WIFI_RESET_AND_BOOT_2_9,IWI290
WIFI_RESET_AND_BOOT_2_10,IWI2A0
BT_RESET_AND_BOOT_2_1,IBT210
BT_RESET_AND_BOOT_2_2,IBT220
BT_RESET_AND_BOOT_2_3,IBT230
BT_RESET_AND_BOOT_2_4,IBT240
BT_RESET_AND_BOOT_2_5,IBT250
BT_RESET_AND_BOOT_2_6,IBT260
BT_RESET_AND_BOOT_2_7,IBT270
BT_RESET_AND_BOOT_2_8,IBT280
BT_RESET_AND_BOOT_2_9,IBT290
BT_RESET_AND_BOOT_2_10,IBT2A0
TOGGLE_ICR_2_1,IR0210
TOGGLE_ICR_2_2,IR0220
TOGGLE_ICR_2_3,IR0230
TOGGLE_ICR_2_4,IR0240
TOGGLE_ICR_2_5,IR0250
READ_TEMP_THERMISTOR_SB_2_1,ITB210
READ_TEMP_THERMISTOR_MPP2_SOC_2_1,ITS210
READ_TEMP_THERMISTOR_MPP3_WIFI_2_1,ITW210
AUDIO_STRESS_TEST_2_1,IA0210
AUDIO_STRESS_TEST_2_2,IA0220
AUDIO_STRESS_TEST_2_3,IA0230
AUDIO_STRESS_TEST_2_4,IA0240
AUDIO_STRESS_TEST_2_5,IA0250
AUDIO_STRESS_TEST_2_6,IA0260
AUDIO_STRESS_TEST_2_7,IA0270
AUDIO_STRESS_TEST_2_8,IA0280
AUDIO_STRESS_TEST_2_9,IA0290
AUDIO_STRESS_TEST_2_10,IA02A0
AUDIO_STRESS_TEST_2_11,IA02B0
AUDIO_STRESS_TEST_2_12,IA02C0
AUDIO_STRESS_TEST_2_13,IA02D0
AUDIO_STRESS_TEST_2_14,IA02E0
AUDIO_STRESS_TEST_2_15,IA02F0
AUDIO_STRESS_TEST_2_16,IA02G0
AUDIO_STRESS_TEST_2_17,IA02H0
AUDIO_STRESS_TEST_2_18,IA02I0
AUDIO_STRESS_TEST_2_19,IA02J0
AUDIO_STRESS_TEST_2_20,IA02K0
AUDIO_STRESS_TEST_2_21,IA02L0
AUDIO_STRESS_TEST_2_22,IA02M0
AUDIO_STRESS_TEST_2_23,IA02N0
AUDIO_STRESS_TEST_2_24,IA02O0
Coprocessor_STRESS_TEST_2_1,IC0210
ENV_SET_MID_2_1,IE0210
MEM_STRESS_TEST_2_1,IM0210
CAMERA_TEMP_THERMISTOR_SB_3_1,ITC310
IMAGE_CAPTURE_3_1,IIC310
WIFI_RESET_AND_BOOT_3_1,IWI310
WIFI_RESET_AND_BOOT_3_2,IWI320
WIFI_RESET_AND_BOOT_3_3,IWI330
WIFI_RESET_AND_BOOT_3_4,IWI340
WIFI_RESET_AND_BOOT_3_5,IWI350
WIFI_RESET_AND_BOOT_3_6,IWI360
WIFI_RESET_AND_BOOT_3_7,IWI370
WIFI_RESET_AND_BOOT_3_8,IWI380
WIFI_RESET_AND_BOOT_3_9,IWI390
WIFI_RESET_AND_BOOT_3_10,IWI3A0
BT_RESET_AND_BOOT_3_1,IBT310
BT_RESET_AND_BOOT_3_2,IBT320
BT_RESET_AND_BOOT_3_3,IBT330
BT_RESET_AND_BOOT_3_4,IBT340
BT_RESET_AND_BOOT_3_5,IBT350
BT_RESET_AND_BOOT_3_6,IBT360
BT_RESET_AND_BOOT_3_7,IBT370
BT_RESET_AND_BOOT_3_8,IBT380
BT_RESET_AND_BOOT_3_9,IBT390
BT_RESET_AND_BOOT_3_10,IBT3A0
TOGGLE_ICR_3_1,IR0310
TOGGLE_ICR_3_2,IR0320
TOGGLE_ICR_3_3,IR0330
TOGGLE_ICR_3_4,IR0340
TOGGLE_ICR_3_5,IR0350
